Date,return,port_value,cash,n_held,year,config,side,schema,window
2022-07-21,0.025637887188872315,1076705.7481832677,8254.737909771473,5,2022,Q75,long,26f,0
2022-07-22,-0.00984165899740628,1066109.1773691007,8838.215233105118,5,2022,Q75,long,26f,0
2022-07-25,0.01331523065758909,1080304.6669719429,8838.215233105118,5,2022,Q75,long,26f,0
2022-07-26,-0.008980376266713672,1070603.124579848,8838.215233105118,5,2022,Q75,long,26f,0
2022-07-27,0.014792399707267092,1086439.9139264822,8838.215233105118,5,2022,Q75,long,26f,0
2022-07-28,0.012257467249548876,1099756.9155900388,8838.215233105118,5,2022,Q75,long,26f,0
2022-07-29,0.003500354349596751,1103606.4544930235,12919.944020832085,5,2022,Q75,long,26f,0
2022-08-01,0.013676188134070386,1118699.5839906444,12919.944020832085,5,2022,Q75,long,26f,0
2022-08-02,-0.0018448296109523019,1116635.7738723385,12919.944020832085,5,2022,Q75,long,26f,0
2022-08-03,0.004644531429031847,1121822.0238188698,12919.944020832085,5,2022,Q75,long,26f,0
2022-08-04,-0.0020909420700644886,1119476.358954142,12919.944020832085,5,2022,Q75,long,26f,0
2022-08-05,0.03253866745248861,1155902.6279190737,9149.427162630367,5,2022,Q75,long,26f,0
2022-08-08,0.003081749530247581,1159464.8302996752,9149.427162630367,5,2022,Q75,long,26f,0
2022-08-09,0.011949945916239046,1173320.3723135376,9149.427162630367,5,2022,Q75,long,26f,0
2022-08-10,-0.003681754172025245,1169000.49513765,9149.427162630367,5,2022,Q75,long,26f,0
2022-08-11,-0.0171979997050376,1148896.024967084,9149.427162630367,5,2022,Q75,long,26f,0
2022-08-12,0.021338716942481958,1173411.9920401992,10737.410173083481,5,2022,Q75,long,26f,0
2022-08-15,-0.004614536263200066,1167997.239851256,10737.410173083481,5,2022,Q75,long,26f,0
2022-08-16,0.0026938398891033755,1171143.6374063299,10737.410173083481,5,2022,Q75,long,26f,0
2022-08-17,-0.0005437009037356521,1170506.8855522678,10737.410173083481,5,2022,Q75,long,26f,0
2022-08-18,0.0047450048598060264,1176060.9464126497,10737.410173083481,5,2022,Q75,long,26f,0
2022-08-19,0.0237354225386686,1203975.2499069804,22783.27911229385,5,2022,Q75,long,26f,0
2022-08-22,-0.0066249982230765034,1195998.9160157186,22783.27911229385,5,2022,Q75,long,26f,0
2022-08-23,0.021120431193356846,1221258.928828758,22783.27911229385,5,2022,Q75,long,26f,0
2022-08-24,0.01598467336885957,1240780.353904889,22783.27911229385,5,2022,Q75,long,26f,0
2022-08-25,-0.0065600483602623995,1232640.7747788094,22783.27911229385,5,2022,Q75,long,26f,0
2022-08-26,-0.017421608188666313,1211166.190163239,10756.877547201118,5,2022,Q75,long,26f,0
2022-08-29,0.028942033459644613,1246219.8025641337,10756.877547201118,5,2022,Q75,long,26f,0
2022-08-30,-0.007925264036880472,1236343.1815808238,10756.877547201118,5,2022,Q75,long,26f,0
2022-08-31,-0.011972548919726437,1221541.0023577772,10756.877547201118,5,2022,Q75,long,26f,0
2022-09-05,0.01324755865218161,1237723.4384325566,10756.877547201118,5,2022,Q75,long,26f,0
2022-09-06,-0.016243580212284562,1217618.3784797527,15166.05864118103,5,2022,Q75,long,26f,0
2022-09-07,-0.046422049148734955,1161094.0382695626,15166.05864118103,5,2022,Q75,long,26f,0
2022-09-08,-0.009527503552716915,1150031.710694911,15166.05864118103,5,2022,Q75,long,26f,0
2022-09-09,0.04011630931365029,1196166.7385216544,15166.05864118103,5,2022,Q75,long,26f,0
2022-09-12,0.002807659846365415,1199525.1678429595,15166.05864118103,5,2022,Q75,long,26f,0
2022-09-13,0.0031702013299632257,1203327.9041253796,10454.97721493894,5,2022,Q75,long,26f,0
2022-09-14,-0.00215068997515019,1200739.9188651587,10454.97721493894,5,2022,Q75,long,26f,0
2022-09-15,0.010170103555684982,1212951.5681834621,10454.97721493894,5,2022,Q75,long,26f,0
2022-09-16,-0.014215682872846061,1195708.6333500447,10454.97721493894,5,2022,Q75,long,26f,0
2022-09-19,-0.03761333655955671,1150734.042096682,10454.97721493894,5,2022,Q75,long,26f,0
2022-09-20,0.011758927357993384,1164265.4401060669,9482.665791168838,5,2022,Q75,long,26f,0
2022-09-21,0.0036670720220556463,1168534.8853277261,9482.665791168838,5,2022,Q75,long,26f,0
2022-09-22,0.01987544799478593,1191760.0396711505,9482.665791168838,5,2022,Q75,long,26f,0
2022-09-23,-0.010858822787100635,1178818.9285956135,9482.665791168838,5,2022,Q75,long,26f,0
