Date,index_code,fgn_buy,fgn_sell,total_value
2016-09-15,VNINDEX,232518576000.0,381528276000.0,1827094295900.0
2016-09-15,VNMID,54715704000.0,68031625000.0,427819000000.0
2016-09-15,VNSML,15225264000.0,1204052000.0,261950000000.0
2016-09-16,VN30,1669409470000.0,3032253700000.0,3869657000000.0
2016-09-16,VNINDEX,1703054028000.0,3171315208000.0,4862826475200.0
2016-09-16,VNMID,73555170000.0,344719937000.0,636762000000.0
2016-09-16,VNSML,14046283000.0,24649489000.0,276396000000.0
2016-09-19,VN30,236928515000.0,240839213000.0,1507045000000.0
2016-09-19,VNINDEX,262486572000.0,283098135000.0,2358572913500.0
2016-09-19,VNMID,22753272000.0,47910377000.0,462932000000.0
2016-09-19,VNSML,5888833000.0,4357789000.0,337782000000.0
2016-09-20,VN30,584281105000.0,626339149000.0,2020330000000.0
2016-09-20,VNINDEX,630956818000.0,698526431000.0,2997057448000.0
2016-09-20,VNMID,45925565000.0,71274472000.0,553421000000.0
2016-09-20,VNSML,12640639000.0,4019880000.0,355866000000.0
2016-09-21,VN30,629922830000.0,196718781000.0,1932910000000.0
2016-09-21,VNINDEX,670262124000.0,284536295000.0,3348260981700.0
2016-09-21,VNMID,39805253000.0,82861228000.0,934811000000.0
2016-09-21,VNSML,16480120000.0,20208519000.0,408933000000.0
2016-09-22,VN30,577012903000.0,547995193000.0,1802596000000.0
2016-09-22,VNINDEX,617058533000.0,586323752000.0,3281278776400.0
2016-09-22,VNMID,27715963000.0,33320047000.0,551875000000.0
2016-09-22,VNSML,4241665000.0,3772341000.0,345122000000.0
2016-09-23,VN30,1858815879000.0,1779564922000.0,2804453000000.0
2016-09-23,VNINDEX,1897771634000.0,1812755332000.0,4659299873260.0
2016-09-23,VNMID,37039554000.0,29588754000.0,511448000000.0
2016-09-23,VNSML,6105335000.0,3905909000.0,375368000000.0
2016-09-26,VN30,952180014000.0,933680982000.0,1998292000000.0
2016-09-26,VNINDEX,1030861630000.0,1039648869000.0,4027485962700.0
2016-09-26,VNMID,75558938000.0,107764606000.0,709449000000.0
2016-09-26,VNSML,6980113000.0,6459039000.0,322185000000.0
2016-09-27,VN30,133015027000.0,237390487000.0,1379508000000.0
2016-09-27,VNINDEX,212649244000.0,315252876000.0,2616792551650.0
2016-09-27,VNMID,78238735000.0,83109956000.0,765968000000.0
2016-09-27,VNSML,5629513000.0,4070598000.0,413877000000.0
2016-09-28,VN30,239719068000.0,273953159000.0,1471427000000.0
