Date,Close,v7_Bull,v7_Neut,v7_Bear,v7_label
2021-01-11,1349.91,1.0,0.0,0.0,Bull
2021-01-12,1369.84,1.0,0.0,0.0,Bull
2021-01-13,1361.67,1.0,0.0,0.0,Bull
2021-01-14,1377.66,1.0,0.0,0.0,Bull
2021-01-15,1392.58,1.0,0.0,0.0,Bull
2021-01-18,1406.88,1.0,0.0,0.0,Bull
2021-01-19,1345.25,1.0,0.0,0.0,Bull
2021-01-20,1339.86,1.0,0.0,0.0,Bull
2021-01-21,1383.57,1.0,0.0,0.0,Bull
2021-01-22,1398.97,1.0,0.0,0.0,Bull
2021-01-25,1421.8,1.0,0.0,0.0,Bull
2021-01-26,1382.81,1.0,0.0,0.0,Bull
2021-01-27,1332.28,0.9,0.0,0.1,Bull
2021-01-28,1247.41,0.75,0.0,0.25,Bull
2021-01-29,1279.6,0.65,0.0,0.35,Bull
2021-02-02,1261.19,0.6,0.0,0.4,Bull
2021-02-03,1308.59,0.65,0.0,0.35,Bull
2021-02-04,1318.64,0.8,0.0,0.2,Bull
2021-02-05,1334.54,0.95,0.0,0.05,Bull
2021-02-08,1288.34,1.0,0.0,0.0,Bull
2021-02-09,1321.59,1.0,0.0,0.0,Bull
2021-02-17,1379.59,1.0,0.0,0.0,Bull
2021-02-18,1401.99,1.0,0.0,0.0,Bull
2021-02-19,1402.45,1.0,0.0,0.0,Bull
2021-02-22,1401.01,1.0,0.0,0.0,Bull
2021-02-23,1392.97,1.0,0.0,0.0,Bull
2021-02-24,1375.34,1.0,0.0,0.0,Bull
2021-02-25,1376.75,1.0,0.0,0.0,Bull
2021-02-26,1384.59,1.0,0.0,0.0,Bull
2021-03-01,1415.12,1.0,0.0,0.0,Bull
2021-03-02,1409.9,1.0,0.0,0.0,Bull
2021-03-03,1415.69,1.0,0.0,0.0,Bull
2021-03-04,1395.31,1.0,0.0,0.0,Bull
2021-03-05,1395.69,1.0,0.0,0.0,Bull
2021-03-08,1411.53,1.0,0.0,0.0,Bull
2021-03-09,1416.15,1.0,0.0,0.0,Bull
2021-03-10,1427.2,1.0,0.0,0.0,Bull
2021-03-11,1439.0,1.0,0.0,0.0,Bull
2021-03-12,1438.22,1.0,0.0,0.0,Bull
2021-03-15,1443.46,1.0,0.0,0.0,Bull
2021-03-16,1446.41,1.0,0.0,0.0,Bull
2021-03-17,1446.13,1.0,0.0,0.0,Bull
2021-03-18,1460.46,1.0,0.0,0.0,Bull
2021-03-19,1475.68,1.0,0.0,0.0,Bull
2021-03-22,1470.9,1.0,0.0,0.0,Bull
2021-03-23,1453.42,0.95,0.05,0.0,Bull
2021-03-24,1419.43,0.9,0.1,0.0,Bull
2021-03-25,1418.62,0.9,0.1,0.0,Bull
2021-03-26,1414.33,0.9,0.1,0.0,Bull
2021-03-29,1437.98,0.95,0.05,0.0,Bull
2021-03-30,1458.74,1.0,0.0,0.0,Bull
2021-03-31,1462.87,1.0,0.0,0.0,Bull
2021-04-01,1482.72,1.0,0.0,0.0,Bull
2021-04-02,1487.64,1.0,0.0,0.0,Bull
2021-04-05,1495.87,1.0,0.0,0.0,Bull
2021-04-06,1500.01,1.0,0.0,0.0,Bull
2021-04-07,1512.75,1.0,0.0,0.0,Bull
2021-04-08,1517.09,1.0,0.0,0.0,Bull
2021-04-09,1520.32,1.0,0.0,0.0,Bull
2021-04-12,1543.04,1.0,0.0,0.0,Bull
2021-04-13,1518.55,1.0,0.0,0.0,Bull
2021-04-14,1539.27,1.0,0.0,0.0,Bull
2021-04-15,1533.11,1.0,0.0,0.0,Bull
2021-04-16,1515.25,1.0,0.0,0.0,Bull
